tcp_dstport,tcp_srcport,udp_srcport,ip_flags,tcp_flags,action0,action1,action2,action3,action4,action5,max_freq
2,53,73,0,2,4,2,2,2,2,2,2
2,53,73,1,0,4,2,2,2,2,2,2
2,53,73,1,1,4,2,2,2,2,2,2
2,53,73,1,2,4,2,2,2,2,2,2
2,53,73,2,0,4,2,2,2,2,2,2
2,53,73,2,1,4,2,2,2,2,2,2
2,53,73,2,2,4,2,2,2,2,2,2
2,53,73,3,0,4,2,2,2,2,2,2
2,53,73,3,1,4,2,2,2,2,2,2
2,53,73,3,2,4,2,2,2,2,2,2
2,53,73,4,0,4,2,2,2,2,2,2
2,53,73,4,1,4,2,2,2,2,2,2
2,53,73,4,2,4,2,2,2,2,2,2
2,53,73,5,0,4,2,2,2,2,2,2
2,53,73,5,1,4,2,2,2,2,2,2
2,53,73,5,2,4,2,2,2,2,2,2
2,53,74,0,0,4,2,2,2,2,2,2
2,53,74,0,1,4,2,2,2,2,2,2
2,53,74,0,2,4,2,2,2,2,2,2
2,53,74,1,0,4,2,2,2,2,2,2
2,53,74,1,1,4,2,2,2,2,2,2
2,53,74,1,2,4,2,2,2,2,2,2
2,53,74,2,0,4,2,2,2,2,2,2
2,53,74,2,1,4,2,2,2,2,2,2
2,53,74,2,2,4,2,2,2,2,2,2
2,53,74,3,0,4,2,2,2,2,2,2
2,53,74,3,1,4,2,2,2,2,2,2
2,53,74,3,2,4,2,2,2,2,2,2
2,53,74,4,0,4,2,2,2,2,2,2
2,53,74,4,1,4,2,2,2,2,2,2
2,53,74,4,2,4,2,2,2,2,2,2
2,53,74,5,0,4,2,2,2,2,2,2
2,53,74,5,1,4,2,2,2,2,2,2
2,53,74,5,2,4,2,2,2,2,2,2
2,53,75,0,0,4,2,2,2,2,2,2
2,53,75,0,1,4,2,2,2,2,2,2
2,53,75,0,2,4,2,2,2,2,2,2
2,53,75,1,0,4,2,2,2,2,2,2
2,53,75,1,1,4,2,2,2,2,2,2
2,53,75,1,2,4,2,2,2,2,2,2
2,53,75,2,0,4,2,2,2,2,2,2
2,53,75,2,1,4,2,2,2,2,2,2
2,53,75,2,2,4,2,2,2,2,2,2
2,53,75,3,0,4,2,2,2,2,2,2
2,53,75,3,1,4,2,2,2,2,2,2
2,53,75,3,2,4,2,2,2,2,2,2
2,53,75,4,0,4,2,2,2,2,2,2
2,53,75,4,1,4,2,2,2,2,2,2
2,53,75,4,2,4,2,2,2,2,2,2
2,53,75,5,0,4,2,2,2,2,2,2
2,53,75,5,1,4,2,2,2,2,2,2
2,53,75,5,2,4,2,2,2,2,2,2
2,53,76,0,0,4,2,2,2,2,2,2
